name;author;price;referenceToFragment;link
Кельтские мифы;Миранда Олдхаус-Грин;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/keltskie-mify/keltskie-mify.mp3;https://www.mann-ivanov-ferber.ru/books/keltskie-mify/
Чувство любви;Сью Джонсон;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/chuvstvo-lyubvi/chuvstvo-lyubvi.mp3;https://www.mann-ivanov-ferber.ru/books/chuvstvo-lyubvi/
Нет ничего невозможного;Килиан Жорнет;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/net-nichego-nevozmozhnogo/net-nichego-nevozmozhnogo.mp3;https://www.mann-ivanov-ferber.ru/books/net-nichego-nevozmozhnogo/
Как перестать учить иностранный язык и начать на нем жить;Анастасия Иванова;324;not defined;https://www.mann-ivanov-ferber.ru/books/kak-perestat-uchit-inostrannyj-yazyk/
Вся правда обо мне;Эмбер Рэй;399;not defined;https://www.mann-ivanov-ferber.ru/books/vsya-pravda-obo-mne/
Просто космос;Катерина Ленгольд;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/prosto-kosmos/prosto-kosmos-audio.mp3;https://www.mann-ivanov-ferber.ru/books/prosto-kosmos/
Биохакинг мозга;Дэйв Эспри;399;not defined;https://www.mann-ivanov-ferber.ru/books/bioxaking-mozga/
Принципы;Рэй Далио;324;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/princzipyi/princzipyi-audio.mp3;https://www.mann-ivanov-ferber.ru/books/princzipyi/
Тракторенок, который хочет уснуть;Карл-Йохан Форссен Эрлин;279;not defined;https://www.mann-ivanov-ferber.ru/books/traktorenok-kotoryij-xochet-usnut/
Никогда-нибудь;Елена Резанова;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/nikogda-nibud/03nikogda-nibud.mp3;https://www.mann-ivanov-ferber.ru/books/nikogda-nibud/
Ген директора;Владимир Моженков;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/gen-direktora/04-gen-direktora.mp3;https://www.mann-ivanov-ferber.ru/books/gen-direktora/
Nudge;Ричард Талер;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/nudge/nudge-audio.mp3;https://www.mann-ivanov-ferber.ru/books/nudge/
Паша и папа;Сюзанна Вебер;319;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/pasha_i_papa/03pasha_i_papa.mp3;https://www.mann-ivanov-ferber.ru/books/children/2017/pasha_i_papa/
Гибкое сознание;Кэрол Дуэк;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/mindset/Gibkoe_soznanie.mp3;https://www.mann-ivanov-ferber.ru/books/mif/mindset/
Джедайские техники;Максим Дорофеев;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/dzhedajskie-texniki/Dzhedajskie_tehniki.mp3;https://www.mann-ivanov-ferber.ru/books/dzhedajskie-texniki/
Давно пора!;Барбара Шер;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/davno-pora/08davno-pora.mp3;https://www.mann-ivanov-ferber.ru/books/davno-pora/
Слоненок, который хочет уснуть;Карл-Йохан Форссен Эрлин;279;not defined;https://www.mann-ivanov-ferber.ru/books/slonenok-kotoryij-xochet-usnut/
45 татуировок продавана;Максим Батырев (Комбат);399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/tatuirovki-prodavana/45_tatoo_prodavana.mp3;https://www.mann-ivanov-ferber.ru/books/tatuirovki-prodavana/
Гормоны счастья;Лоретта Грациано Бройнинг;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/gormony-schastya/gormony-schasty.mp3;https://www.mann-ivanov-ferber.ru/books/gormony-schastya/
Как хочет женщина;Эмили Нагоски;399;not defined;https://www.mann-ivanov-ferber.ru/books/kak-hochet-zhenshina/
100 способов изменить жизнь;Лариса Парфентьева;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/100-sposobov-izmenit-zhizn/100_sposobov_izmenit_zhizn.mp3;https://www.mann-ivanov-ferber.ru/books/100-sposobov-izmenit-zhizn/
Магия утра;Хэл Элрод;324;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/magiya-utra/Magiya-utra.mp3;https://www.mann-ivanov-ferber.ru/books/magiya-utra/
На пределе;Эрик Бертран Ларссен;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/na-predele/na-predele.mp3;https://www.mann-ivanov-ferber.ru/books/na-predele/
Как привести дела в порядок;Дэвид Аллен;399;not defined;https://www.mann-ivanov-ferber.ru/books/mif/gettingthingsdone/
Открывая организации будущего;Фредерик Лалу;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/otkryivaya-organizaczii-budushhego/Otkrivaya_organizacii_budushego.mp3;https://www.mann-ivanov-ferber.ru/books/novyj-vzglyad-na-organizacii/
Scrum;Джефф Сазерленд;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/scrum/Scrum.mp3;https://www.mann-ivanov-ferber.ru/books/scrum/
Не работайте с м*даками;Роберт Саттон;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/rabota_bez_vreditelej/rabota_bez_vreditelej_01of9.mp3;https://www.mann-ivanov-ferber.ru/books/rabota_bez_vreditelej/
БУДЬ лучшей версией себя;Дэн Вальдшмидт;359;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/preodolevaya_sebya/preodolevaya-sebya.mp3;https://www.mann-ivanov-ferber.ru/books/preodolevaya_sebya/
Эссенциализм;Грег МакКеон;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/hozyain_svoej_zhizni/hozyain-svoej-zhizni_06of21.mp3;https://www.mann-ivanov-ferber.ru/books/hozyain_svoej_zhizni/
Еда и мозг;Дэвид Перлмуттер;399;not defined;https://www.mann-ivanov-ferber.ru/books/eda_i_mozg/
Осознанность;Марк Уильямс;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/osoznannost/osoznannost_audio.mp3;https://www.mann-ivanov-ferber.ru/books/osoznannost/
Номер 1. Как стать лучшим в том, что ты делаешь;Игорь Манн;359;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/nomer_odin/Nomer_1.mp3;https://www.mann-ivanov-ferber.ru/books/nomer_odin/
Китайское исследование;Колин Кэмпбелл;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/the-china-study/the-china-study_2of20.mp3;https://www.mann-ivanov-ferber.ru/books/healthy_eating/the-china-study/
45 татуировок менеджера;Максим Батырев (Комбат);359;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/tattoos/01_%D0%A1%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%B0%20%D0%BD%D0%B0%D1%83%D1%87%D0%B8%D1%82%D0%B5%D1%81%D1%8C%20%D0%B8%D0%B3%D1%80%D0%B0%D1%82%D1%8C%20%D0%BF%D0%BE%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0%D0%BC,%20%D0%BF%D0%BE%D1%82%D0%BE%D0%BC%20%D0%BF%D1%80%D0%B8%D0%B4%D1%83%D0%BC%D1%8B%D0%B2%D0%B0%D0%B9%D1%82%D0%B5%20%D1%81%D0%B2%D0%BE%D0%B8.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/tattoos/
Как люди думают;Дмитрий Чернышев;240;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/think_mp3/01.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/think/
Мастер звонка;Евгений Жигилий;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/master-zvonka/call-07.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/call/
Выйди из зоны комфорта. Измени свою жизнь;Брайан Трейси;319;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/eat_that_frog_mp3/00_Vvedenie.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/eat_that_frog/
Великие по собственному выбору;Джим Коллинз;456;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/great-by-choice_mp3/1.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/great-choice/
Эмоциональный интеллект;Дэниел Гоулман;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/working-with-emotional-intelligence/Emocionalnij%20intellekt.mp3;https://www.mann-ivanov-ferber.ru/books/psychologies/emotional-intelligence/
Сила воли;Келли Макгонигал;399;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/thewillpowerinstinct_mp3/01_Predislovie.mp3;https://www.mann-ivanov-ferber.ru/books/mif/thewillpowerinstinct/
Зоки и Бада;Ирина и Леонид Тюхтяевы;280;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/zoki_i_bada/1.%20%D0%92%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.mp3;https://www.mann-ivanov-ferber.ru/books/children/zoki-i-bada/
Сам себе МВА;Джош Кауфман;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/personal-mba/personal-mba-audio.mp3;https://www.mann-ivanov-ferber.ru/books/mif/personal-mba/
Доставляя счастье;Тони Шей;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/deliveringhappiness/deliveringhappiness-1_audio.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/deliveringhappiness/
Фиолетовая корова;Сет Годин;359;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/007a/%D0%BA%D0%BE%D1%80%D0%BE%D0%B2%D0%B0.mp3;https://www.mann-ivanov-ferber.ru/books/mif/purplecow/
Deadline;Том ДеМарко;360;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/Deadline_mp3/Deadline.%20%D0%9F%D1%80%D0%B5%D0%B4%D0%B8%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D0%B5.mp3;https://www.mann-ivanov-ferber.ru/books/biznesroman/deadline1/
